Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
Mean Recall,Poisson-Gaussian,3,0.0940931642,0.2,22.5
Mean Recall,Poisson-Gaussian,4,0.0890486186,0.2,22.5
Mean Recall,Poisson-Gaussian,0,0.2618159024,0.1,2.5
Mean Recall,Poisson-Gaussian,1,0.260599248,0.1,2.5
Mean Recall,Poisson-Gaussian,2,0.2624668731,0.1,2.5
Mean Recall,Poisson-Gaussian,3,0.2633750168,0.1,2.5
Mean Recall,Poisson-Gaussian,4,0.2636536143,0.1,2.5
Mean Recall,Poisson-Gaussian,0,0.1666739436,0.1,5.0
Mean Recall,Poisson-Gaussian,1,0.1678976265,0.1,5.0
Mean Recall,Poisson-Gaussian,2,0.1679737857,0.1,5.0
Mean Recall,Poisson-Gaussian,3,0.1673539853,0.1,5.0
Mean Recall,Poisson-Gaussian,4,0.1673455608,0.1,5.0
Mean Recall,Poisson-Gaussian,0,0.1217306534,0.1,10.0
Mean Recall,Poisson-Gaussian,1,0.1215249643,0.1,10.0
Mean Recall,Poisson-Gaussian,2,0.1228011633,0.1,10.0
Mean Recall,Poisson-Gaussian,3,0.1231042185,0.1,10.0
Mean Recall,Poisson-Gaussian,4,0.1235813443,0.1,10.0
Mean Recall,Poisson-Gaussian,0,0.0226708739,0.1,15.0
Mean Recall,Poisson-Gaussian,1,0.0224216096,0.1,15.0
Mean Recall,Poisson-Gaussian,2,0.0222392854,0.1,15.0
Mean Recall,Poisson-Gaussian,3,0.0220376461,0.1,15.0
Mean Recall,Poisson-Gaussian,4,0.0224889624,0.1,15.0
Mean Recall,Poisson-Gaussian,0,0.0029360758,0.1,22.5
Mean Recall,Poisson-Gaussian,1,0.0033454556,0.1,22.5
Mean Recall,Poisson-Gaussian,2,0.0025066959,0.1,22.5
Mean Recall,Poisson-Gaussian,3,0.0026479866,0.1,22.5
Mean Recall,Poisson-Gaussian,4,0.0025555989,0.1,22.5
mAP@0.50,Poisson-Gaussian,0,0.5278879161,0.8,2.5
mAP@0.50,Poisson-Gaussian,1,0.5285736835,0.8,2.5
mAP@0.50,Poisson-Gaussian,2,0.5282568795,0.8,2.5
mAP@0.50,Poisson-Gaussian,3,0.5300122764,0.8,2.5
mAP@0.50,Poisson-Gaussian,4,0.5276341311,0.8,2.5
mAP@0.50,Poisson-Gaussian,0,0.5203246142,0.8,5.0
mAP@0.50,Poisson-Gaussian,1,0.5215714618,0.8,5.0
mAP@0.50,Poisson-Gaussian,2,0.5214077459,0.8,5.0
mAP@0.50,Poisson-Gaussian,3,0.5226189111,0.8,5.0
mAP@0.50,Poisson-Gaussian,4,0.5214149936,0.8,5.0
mAP@0.50,Poisson-Gaussian,0,0.4935284722,0.8,10.0
mAP@0.50,Poisson-Gaussian,1,0.4952568257,0.8,10.0
mAP@0.50,Poisson-Gaussian,2,0.4939170463,0.8,10.0
mAP@0.50,Poisson-Gaussian,3,0.4927396713,0.8,10.0
mAP@0.50,Poisson-Gaussian,4,0.492756655,0.8,10.0
mAP@0.50,Poisson-Gaussian,0,0.4577824213,0.8,15.0
mAP@0.50,Poisson-Gaussian,1,0.4575747223,0.8,15.0
mAP@0.50,Poisson-Gaussian,2,0.4597118839,0.8,15.0
mAP@0.50,Poisson-Gaussian,3,0.4568758031,0.8,15.0
mAP@0.50,Poisson-Gaussian,4,0.4582847387,0.8,15.0
mAP@0.50,Poisson-Gaussian,0,0.3908622386,0.8,22.5
mAP@0.50,Poisson-Gaussian,1,0.3882906023,0.8,22.5
mAP@0.50,Poisson-Gaussian,2,0.3903437305,0.8,22.5
mAP@0.50,Poisson-Gaussian,3,0.3893382536,0.8,22.5
mAP@0.50,Poisson-Gaussian,4,0.3904650988,0.8,22.5
mAP@0.50,Poisson-Gaussian,0,0.5174741144,0.6,2.5
mAP@0.50,Poisson-Gaussian,1,0.5185299624,0.6,2.5
mAP@0.50,Poisson-Gaussian,2,0.5161143118,0.6,2.5
mAP@0.50,Poisson-Gaussian,3,0.5171749447,0.6,2.5
mAP@0.50,Poisson-Gaussian,4,0.5180901974,0.6,2.5
mAP@0.50,Poisson-Gaussian,0,0.5073415174,0.6,5.0
mAP@0.50,Poisson-Gaussian,1,0.5044929099,0.6,5.0
mAP@0.50,Poisson-Gaussian,2,0.5041622233,0.6,5.0
mAP@0.50,Poisson-Gaussian,3,0.5045568095,0.6,5.0
mAP@0.50,Poisson-Gaussian,4,0.5053439346,0.6,5.0
mAP@0.50,Poisson-Gaussian,0,0.466617973,0.6,10.0
mAP@0.50,Poisson-Gaussian,1,0.4673396599,0.6,10.0
mAP@0.50,Poisson-Gaussian,2,0.4668391912,0.6,10.0
mAP@0.50,Poisson-Gaussian,3,0.4662186864,0.6,10.0
mAP@0.50,Poisson-Gaussian,4,0.4655347587,0.6,10.0
mAP@0.50,Poisson-Gaussian,0,0.4112078077,0.6,15.0
mAP@0.50,Poisson-Gaussian,1,0.4136917289,0.6,15.0
mAP@0.50,Poisson-Gaussian,2,0.4134588143,0.6,15.0
mAP@0.50,Poisson-Gaussian,3,0.4133502881,0.6,15.0
mAP@0.50,Poisson-Gaussian,4,0.4135670147,0.6,15.0
mAP@0.50,Poisson-Gaussian,0,0.3158481994,0.6,22.5
mAP@0.50,Poisson-Gaussian,1,0.3164395357,0.6,22.5
mAP@0.50,Poisson-Gaussian,2,0.3179730383,0.6,22.5
mAP@0.50,Poisson-Gaussian,3,0.3173353778,0.6,22.5
mAP@0.50,Poisson-Gaussian,4,0.3160061132,0.6,22.5
mAP@0.50,Poisson-Gaussian,0,0.4955795155,0.4,2.5
mAP@0.50,Poisson-Gaussian,1,0.4948780779,0.4,2.5
mAP@0.50,Poisson-Gaussian,2,0.4940914972,0.4,2.5
mAP@0.50,Poisson-Gaussian,3,0.4942969396,0.4,2.5
mAP@0.50,Poisson-Gaussian,4,0.4935621268,0.4,2.5
mAP@0.50,Poisson-Gaussian,0,0.4736948303,0.4,5.0
mAP@0.50,Poisson-Gaussian,1,0.4719850948,0.4,5.0
mAP@0.50,Poisson-Gaussian,2,0.4728568864,0.4,5.0
mAP@0.50,Poisson-Gaussian,3,0.471570533,0.4,5.0
mAP@0.50,Poisson-Gaussian,4,0.4742040832,0.4,5.0
mAP@0.50,Poisson-Gaussian,0,0.4031813013,0.4,10.0
mAP@0.50,Poisson-Gaussian,1,0.4037457122,0.4,10.0
mAP@0.50,Poisson-Gaussian,2,0.4066498005,0.4,10.0
mAP@0.50,Poisson-Gaussian,3,0.4051633115,0.4,10.0
mAP@0.50,Poisson-Gaussian,4,0.4059268598,0.4,10.0
mAP@0.50,Poisson-Gaussian,0,0.3159192836,0.4,15.0
mAP@0.50,Poisson-Gaussian,1,0.3163380619,0.4,15.0
mAP@0.50,Poisson-Gaussian,2,0.3164666847,0.4,15.0
mAP@0.50,Poisson-Gaussian,3,0.3165804558,0.4,15.0
mAP@0.50,Poisson-Gaussian,4,0.3167234938,0.4,15.0
mAP@0.50,Poisson-Gaussian,0,0.1869627537,0.4,22.5
mAP@0.50,Poisson-Gaussian,1,0.1879068078,0.4,22.5
mAP@0.50,Poisson-Gaussian,2,0.1878218834,0.4,22.5
mAP@0.50,Poisson-Gaussian,3,0.1883934724,0.4,22.5
mAP@0.50,Poisson-Gaussian,4,0.1888707459,0.4,22.5
mAP@0.50,Poisson-Gaussian,0,0.4282176354,0.2,2.5
mAP@0.50,Poisson-Gaussian,1,0.4292313069,0.2,2.5
mAP@0.50,Poisson-Gaussian,2,0.427815581,0.2,2.5
mAP@0.50,Poisson-Gaussian,3,0.4271813883,0.2,2.5
mAP@0.50,Poisson-Gaussian,4,0.4265645148,0.2,2.5
mAP@0.50,Poisson-Gaussian,0,0.3735349553,0.2,5.0
mAP@0.50,Poisson-Gaussian,1,0.3742969044,0.2,5.0
mAP@0.50,Poisson-Gaussian,2,0.3723086126,0.2,5.0
mAP@0.50,Poisson-Gaussian,3,0.3748061693,0.2,5.0
mAP@0.50,Poisson-Gaussian,4,0.3749573766,0.2,5.0
mAP@0.50,Poisson-Gaussian,0,0.2239754336,0.2,10.0
mAP@0.50,Poisson-Gaussian,1,0.2248695187,0.2,10.0
mAP@0.50,Poisson-Gaussian,2,0.2266961994,0.2,10.0
mAP@0.50,Poisson-Gaussian,3,0.2256710329,0.2,10.0
mAP@0.50,Poisson-Gaussian,4,0.2255413902,0.2,10.0
mAP@0.50,Poisson-Gaussian,0,0.1071116472,0.2,15.0
mAP@0.50,Poisson-Gaussian,1,0.1075175763,0.2,15.0
mAP@0.50,Poisson-Gaussian,2,0.107643162,0.2,15.0
mAP@0.50,Poisson-Gaussian,3,0.1072865228,0.2,15.0
